ID,Name,Type1,Type2,HP,Attack,Defense,SpecialAttack,SpecialDefense,Speed,Ability1,Ability2,CatchRate,GenderRatio,EggGroup1,EggGroup2,BaseExperience,BaseFriendship,GrowthRate,EXPGroup
394,SUNFLORA,12,12,75,0,55,105,85,30,CHLOROPHYLL,-------,120,50% Male & 50% Female,Grass,Grass,146,70,Medium Slow,
395,YANMA,6,2,65,0,45,75,45,95,SPEED BOOST,COMPOUNDEYES,75,50% Male & 50% Female,Bug,Bug,147,70,Medium Fast,
396,WOOPER,11,4,55,0,45,25,25,15,DAMP,WATER ABSORB,255,50% Male & 50% Female,Water1,Field,52,70,Medium Fast,
397,QUAGSIRE,11,4,95,0,85,65,65,35,DAMP,WATER ABSORB,90,50% Male & 50% Female,Water1,Field,137,70,Medium Fast,
398,ESPEON,14,14,65,0,60,130,95,110,SYNCHRONIZE,-------,45,87% Male,Field,Field,197,70,Medium Fast,
399,UMBREON,17,17,95,0,110,60,130,65,SYNCHRONIZE,-------,45,87% Male,Field,Field,197,35,Medium Fast,
400,MURKROW,17,2,60,0,42,85,42,91,INSOMNIA,-------,30,50% Male & 50% Female,Flying,Flying,107,35,Medium Slow,
401,SLOWKING,11,14,95,0,80,100,110,30,OBLIVIOUS,OWN TEMPO,70,50% Male & 50% Female,Monster,Water1,164,70,Medium Fast,
402,MISDREAVUS,7,7,60,0,60,85,85,85,LEVITATE,-------,45,50% Male & 50% Female,Amorphous,Amorphous,147,35,Fast,
403,UNOWN,14,14,48,0,48,72,48,48,LEVITATE,-------,225,Genderless,Undiscovered,Undiscovered,61,70,Medium Fast,
404,WOBBUFFET,14,14,190,0,58,33,58,33,SHADOW TAG,-------,45,50% Male & 50% Female,Amorphous,Amorphous,177,70,Medium Fast,
405,GIRAFARIG,0,14,70,0,65,90,65,85,INNER FOCUS,EARLY BIRD,60,50% Male & 50% Female,Field,Field,149,70,Medium Fast,
406,PINECO,6,6,50,0,90,35,35,15,STURDY,-------,190,50% Male & 50% Female,Bug,Bug,60,70,Medium Fast,
407,FORRETRESS,6,8,75,0,140,60,60,40,STURDY,-------,75,50% Male & 50% Female,Bug,Bug,118,70,Medium Fast,
408,DUNSPARCE,0,0,100,0,70,65,65,45,SERENE GRACE,RUN AWAY,190,50% Male & 50% Female,Field,Field,75,70,Medium Fast,
409,GLIGAR,4,2,65,0,105,35,65,85,HYPER CUTTER,SAND VEIL,60,50% Male & 50% Female,Bug,Bug,108,70,Medium Slow,
410,SNUBBULL,0,0,60,0,50,40,40,30,INTIMIDATE,RUN AWAY,190,75% Female,Field,Fairy,63,70,Fast,
411,GRANBULL,0,0,90,0,75,60,60,45,INTIMIDATE,INTIMIDATE,75,75% Female,Field,Fairy,178,70,Fast,
